00000800 movgr2scr              TdJ             @orig_name=gr2scr
00000c00 movscr2gr              DTj             @orig_name=scr2gr
00007000 x86mttop               Uj3
00007400 x86mftop               D
00007800 x86setloope            DJ              @orig_name=setx86loope
00007c00 x86setloopne           DJ              @orig_name=setx86loopne
00008000 x86inc.b               J
00008001 x86inc.h               J
00008002 x86inc.w               J
00008003 x86inc.d               J
00008004 x86dec.b               J
00008005 x86dec.h               J
00008006 x86dec.w               J
00008007 x86dec.d               J
00008008 x86settm               EMPTY
00008009 x86inctop              EMPTY
00008028 x86clrtm               EMPTY
00008029 x86dectop              EMPTY
001a0000 rotr.b                 DJK
001a8000 rotr.h                 DJK
00290000 addu12i.w              DJSk5
00298000 addu12i.d              DJSk5
00300000 adc.b                  DJK
00308000 adc.h                  DJK
00310000 adc.w                  DJK
00318000 adc.d                  DJK
00320000 sbc.b                  DJK
00328000 sbc.h                  DJK
00330000 sbc.w                  DJK
00338000 sbc.d                  DJK
00340000 rcr.b                  DJK
00348000 rcr.h                  DJK
00350000 rcr.w                  DJK
00358000 rcr.d                  DJK
00364000 armmove                DJUk4
00368000 x86setj                DUk4            @orig_name=setx86j
0036c000 armsetj                DUk4            @orig_name=setarmj
00370010 armadd.w               JKUd4
00378010 armsub.w               JKUd4
00380010 armadc.w               JKUd4
00388010 armsbc.w               JKUd4
00390010 armand.w               JKUd4
00398010 armor.w                JKUd4
003a0010 armxor.w               JKUd4
003a8010 armsll.w               JKUd4
003b0010 armsrl.w               JKUd4
003b8010 armsra.w               JKUd4
003c0010 armrotr.w              JKUd4
003c8010 armslli.w              JUd4Uk5         @orig_fmt=JUk5Ud4
003d0010 armsrli.w              JUd4Uk5         @orig_fmt=JUk5Ud4
003d8010 armsrai.w              JUd4Uk5         @orig_fmt=JUk5Ud4
003e0010 armrotri.w             JUd4Uk5         @orig_fmt=JUk5Ud4
003e8000 x86mul.b               JK
003e8001 x86mul.h               JK
003e8002 x86mul.w               JK
003e8003 x86mul.d               JK
003e8004 x86mul.bu              JK
003e8005 x86mul.hu              JK
003e8006 x86mul.wu              JK
003e8007 x86mul.du              JK
003f0000 x86add.wu              JK
003f0001 x86add.du              JK
003f0002 x86sub.wu              JK
003f0003 x86sub.du              JK
003f0004 x86add.b               JK
003f0005 x86add.h               JK
003f0006 x86add.w               JK
003f0007 x86add.d               JK
003f0008 x86sub.b               JK
003f0009 x86sub.h               JK
003f000a x86sub.w               JK
003f000b x86sub.d               JK
003f000c x86adc.b               JK
003f000d x86adc.h               JK
003f000e x86adc.w               JK
003f000f x86adc.d               JK
003f0010 x86sbc.b               JK
003f0011 x86sbc.h               JK
003f0012 x86sbc.w               JK
003f0013 x86sbc.d               JK
003f0014 x86sll.b               JK
003f0015 x86sll.h               JK
003f0016 x86sll.w               JK
003f0017 x86sll.d               JK
003f0018 x86srl.b               JK
003f0019 x86srl.h               JK
003f001a x86srl.w               JK
003f001b x86srl.d               JK
003f001c x86sra.b               JK
003f001d x86sra.h               JK
003f001e x86sra.w               JK
003f001f x86sra.d               JK
003f8000 x86rotr.b              JK
003f8001 x86rotr.h              JK
003f8002 x86rotr.d              JK
003f8003 x86rotr.w              JK
003f8004 x86rotl.b              JK
003f8005 x86rotl.h              JK
003f8006 x86rotl.w              JK
003f8007 x86rotl.d              JK
003f8008 x86rcr.b               JK
003f8009 x86rcr.h               JK
003f800a x86rcr.w               JK
003f800b x86rcr.d               JK
003f800c x86rcl.b               JK
